Title,Authors,Research Area
Customized Views on Profiles in WebID-based Distributed Social Networks,"
                        Stefan Wild, Alexey Tschudnowsky, Sebastian Heil, Martin Gaedke
                    ",Intelligent Information Management
Inter-Widget Communication by Demonstration in User Interface Mashups,"
                        Olexiy Chudnovskyy, Christian Fischer, Martin Gaedke, Stefan Pietschmann
                    ",Service Infrastructures
Awareness and Control for Inter-Widget Communication: Challenges and Solutions,"
                        Olexiy Chudnovskyy, Stefan Pietschmann, Matthias Niederhausen, Vadim Chepegin, David Griffiths, Martin Gaedke
                    ",Web Engineering
Complementary Assistance Mechanisms for End User Mashup Composition,"
                        Soudip Roy Chowdhury, Olexiy Chudnovskyy, Matthias Niederhausen, Stefan Pietschmann, Paul Sharples, Florian Daniel, Martin Gaedke
                    ",Web Engineering
The Chrooma+ Approach to Enrich Video Content using HTML5,"
                        Philipp Oehme, Michael Krug, Fabian Wiedemann, Martin Gaedke
                    ",Web Engineering
Exploiting Annotations for the Rapid Development of Collaborative Web Applications,"
                        Matthias Heinrich, Franz Josef Grüneberger, Thomas Springer, Martin Gaedke
                    ",Web Engineering
Towards a Context-Aware WebID Certificate Creation Taking Individual Conditions and Trust Needs into Account,"
                        Stefan Wild, Markus Ast, Martin Gaedke
                    ",Intelligent Information Management
Analyzing the Suitability of Web Applications for a Single-User to Multi-User Transformation,"
                        Matthias Heinrich, Franz Lehmann, Franz Josef Grüneberger, Thomas Springer, Martin Gaedke
                    ",Web Engineering
Agile Praktiken - oder doch Impediments? Bewertung der Agilität von Praktiken in der Softwareentwicklung,"
                        André Janus, Jens Jäger, Martin Gaedke
                    ",Web Engineering
Ranking Web Services using Centralities and Social Indicators,"
                        Tilo Zemke, Jose Ignacio Fernández-Villamor, Carlos Á. Iglesias
                    ",Web Engineering
Extending Web Standards-based Widgets towards Inter-Widget Communication,"
                        Olexiy Chudnovskyy, Sebastian Müller, Martin Gaedke
                    ",Web Engineering
End-User-Development and Evolution of Web Applications: The WebComposition EUD Approach,"
                        Olexiy Chudnovskyy, Martin Gaedke
                    ",Web Engineering
Supporting Semantic Interoperability in Inter-Widget-Communication-enabled User Interface Mashups,"
                        Sebastian Heil, Alexey Tschudnowsky, Martin Gaedke
                    ",Web Engineering
Konzepte zur Integration des Widget-Nachrichtenaustausches in User-interface-Mashups,"
                        Christian Fischer, Olexiy Chudnovskyy, Martin Gaedke
                    ",Web Engineering
Synchronisationsalgorithmen verstehen - Das Geheimnis der Echtzeit-Kollaboration,"
                        Matthias Heinrich, Thomas Hettel
                    ",Web Engineering
Enriching Web Applications with Collaboration Support Using Dependency Injection,"
                        Matthias Heinrich, Franz Josef Grüneberger, Thomas Springer, Martin Gaedke
                    ",Web Engineering
Reusable Awareness Widgets for Collaborative Web Applications - A Non-Invasive Approach,"
                        Matthias Heinrich, Franz Josef Grüneberger, Thomas Springer, Martin Gaedke
                    ",Web Engineering
From Mashups to Telco Mashups: A Survey,"
                        Hendrik Gebhardt, Martin Gaedke, Florian Daniel, Stefano Soi, Fabio Casati, Carlos A. Iglesias, Scott Wilson
                    ",Web Engineering
End-User-Oriented Telco Mashups: The OMELETTE Approach,"
                        Olexiy Chudnovskyy, Tobias Nestler, Martin Gaedke, Florian Daniel, Jóse Ignacio, Vadim Chepegin, Jóse Angel Fornas, Scott Wilson, Christof Kögler, Heng Chang
                    ",Web Engineering
Exploiting Single-User Web Applications for Shared Editing - A Generic Transformation Approach,"
                        Matthias Heinrich, Franz Lehmann, Thomas Springer, Martin Gaedke
                    ",Web Engineering
Data Portability Using WebComposition/Data Grid Service,"
                        Olexiy Chudnovskyy, Stefan Wild, Hendrik Gebhardt, Martin Gaedke
                    ",Service Infrastructures
Data Binding for Standard-based Web Applications,"
                        Matthias Heinrich, Martin Gaedke
                    ",Web Engineering
"Browser-Entwicklungsumgebungen im Vergleich - Desktop ade, tut scheiden weh?","
                        Matthias Heinrich, Thomas Hettel
                    ",Not found
Geschäftsprozessintegration auf Basis von Telco-Mashups,"
                        Frank Weinhold, Olexiy Chudnovskyy, Hendrik Gebhardt, Martin Gaedke
                    ",Web Engineering
Integrating Human-Services using WebComposition/UIX,"
                        Olexiy Chudnovskyy, Sebastian Brandt, Martin Gaedke, 
                    ",Service Infrastructures
The Social Routing Principle,"
                        Schahram Dustdar, Martin Gaedke
                    ",Web Engineering
Die modellierte Workbench im Eclipse SDK 4.0,"
                        Lars Vogel, Matthias Heinrich
                    ",Not found
